List of Rectangle Side Lengths, Number of Blockers, and Ratios R(m,n;r):

Side Lengths: 4 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.3
3 | 1.0
4 | 1.4090909090909092


Side Lengths: 6 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.4285714285714286
3 | 1.0
4 | 1.4666666666666666
5 | 1.0
6 | 1.4390243902439024


Side Lengths: 6 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.5769230769230769
3 | 1.0
4 | 1.4656319290465631
5 | 1.0
6 | 1.3721831194179925
7 | 1.0
8 | 1.3231400517805676
9 | 1.0
10 | 1.2986506636681414
11 | 1.0
12 | 1.2913856593156523


Side Lengths: 8 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.5
3 | 1.0
4 | 1.4726890756302522
5 | 1.0
6 | 1.413894324853229
7 | 1.0
8 | 1.3990825688073394


Side Lengths: 8 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.6176470588235294
3 | 1.0
4 | 1.4579295154185021
5 | 1.0
6 | 1.3504811250925242
7 | 1.0
8 | 1.2919234190061346
9 | 1.0
10 | 1.2578685361212487
11 | 1.0
12 | 1.237971562655303
13 | 1.0
14 | 1.227410614021781
15 | 1.0
16 | 1.2241001931397943


Side Lengths: 8 x 6
Number of Blockers | Ratio
1 | 1.0
2 | 1.66
3 | 1.0
4 | 1.4478629329403094
5 | 1.0
6 | 1.3296993936266288
7 | 1.0
8 | 1.2654614672680071
9 | 1.0
10 | 1.2263194483741109
11 | 1.0
12 | 1.2006393195291183
13 | 1.0
14 | 1.1830517405249925
15 | 1.0
16 | 1.1707982950261266
17 | 1.0
18 | 1.1623442936436656
19 | 1.0
20 | 1.1568000658555335
21 | 1.0
22 | 1.1536514237111837
23 | 1.0
24 | 1.15262977872676


Side Lengths: 10 x 2
Number of Blockers | Ratio
1 | 1.0
2 | 1.5454545454545454
3 | 1.0
4 | 1.4698795180722892
5 | 1.0
6 | 1.3895705521472392
7 | 1.0
8 | 1.3516587677725118
9 | 1.0
10 | 1.3396006727327612


Side Lengths: 10 x 4
Number of Blockers | Ratio
1 | 1.0
2 | 1.6428571428571428
3 | 1.0
4 | 1.4521531100478469
5 | 1.0
6 | 1.3378572544119944
7 | 1.0
8 | 1.275509034022966
9 | 1.0
10 | 1.2380002789642988
11 | 1.0
12 | 1.214095613791187
13 | 1.0
14 | 1.1985648809869147
15 | 1.0
16 | 1.1887795823341103
17 | 1.0
18 | 1.183356233266884
19 | 1.0
20 | 1.1816172165211336


Side Lengths: 10 x 6
Number of Blockers | Ratio
1 | 1.0
2 | 1.6774193548387097
3 | 1.0
4 | 1.4432445698858756
5 | 1.0
6 | 1.321785029327399
7 | 1.0
8 | 1.2560800314202931
9 | 1.0
10 | 1.2157153071519637
11 | 1.0
12 | 1.188767078075105
13 | 1.0
14 | 1.1697810608338304
15 | 1.0
16 | 1.1559386746494265
17 | 1.0
18 | 1.14564571368575
19 | 1.0
20 | 1.1379406877559861
21 | 1.0
22 | 1.1322173811081329
23 | 1.0
24 | 1.1280837979292602
25 | 1.0
26 | 1.1252859270117124
